Nombre,Ciudad,Poblacion,Pais,Presupuesto,CapacidadEstadio,Latitud,Longitud
Athletic Club,Bilbao,Medio,Espana,Medio,Alto,Norte,Centro
Real Club Celta de Vigo,Vigo,Medio,Espana,Bajo,Medio,Norte,Oeste
Club Atletico de Madrid,Madrid,Alto,Espana,Alto,Alto,Centro,Centro
Real Club Deportivo Espanyol,Barcelona,Alto,Espana,Bajo,Medio,Norte,Este
Club Deportivo Leganes,Leganes,Bajo,Espana,Bajo,Bajo,Centro,Centro
Real Madrid Club de Futbol,Madrid,Alto,Espana,Alto,Alto,Centro,Centro
Deportivo Alaves,Vitoria,Bajo,Espana,Bajo,Bajo,Norte,Centro
Real Sociedad de Futbol,San Sebastian,Bajo,Espana,Medio,Medio,Norte,Centro
Futbol Club Barcelona,Barcelona,Alto,Espana,Alto,Alto,Norte,Este
Real Valladolid Club de Futbol,Valladolid,Medio,Espana,Bajo,Medio,Norte,Centro
Getafe Club de Futbol,Getafe,Bajo,Espana,Bajo,Bajo,Centro,Centro
Sevilla Futbol Club,Sevilla,Medio,Espana,Alto,Medio,Sur,Oeste
Club Atletico Osasuna,Pamplona,Bajo,Espana,Bajo,Bajo,Norte,Centro
Sociedad Deportiva Eibar,Eibar,Bajo,Espana,Bajo,Bajo,Norte,Centro
Levante Union Deportiva,Valencia,Alto,Espana,Bajo,Medio,Centro,Este
Granada Club de Futbol,Granada,Bajo,Espana,Bajo,Bajo,Sur,Centro
Real Club Deportivo Mallorca,Mallorca,Medio,Espana,Bajo,Bajo,Centro,Este
Valencia Club de Futbol,Valencia,Alto,Espana,Alto,Medio,Centro,Este
Real Betis Balompie,Sevilla,Medio,Espana,Medio,Alto,Sur,Oeste
Villarreal Club de Futbol,Villarreal,Bajo,Espana,Medio,Bajo,Centro,Este
Arsenal,Londres,Alto,Inglaterra,Medio,Alto,Sur,Este
Aston Villa,Birmingham,Alto,Inglaterra,Bajo,Medio,Centro,Centro
